1A,2A,3A,4A,1B,2B,3B,4B,Type,Cycle
1409,1306,1677,1322,1083,1126,1265,1086,Original Data,1
1424,1310,1699,1338,1091,1126,1288,1098,Original Data,2
1442,1315,1685,1337,1106,1131,1272,1100,Original Data,3
1437,1322,1685,1327,1102,1139,1270,1090,Original Data,4
1442,1310,1687,1341,1104,1123,1274,1102,Original Data,5
1435,1316,1698,1330,1096,1134,1284,1088,Original Data,6
1448,1322,1685,1330,1108,1136,1271,1090,Original Data,7
1447,1323,1686,1330,1110,1137,1270,1088,Original Data,8
1443,1319,1698,1324,1100,1134,1282,1085,Original Data,9
1459,1313,1688,1333,1116,1126,1270,1097,Original Data,10
1445,1317,1700,1327,1104,1135,1284,1086,Original Data,11
1446,1316,1698,1329,1102,1132,1284,1085,Original Data,12
1448,1325,1688,1326,1107,1140,1272,1080,Original Data,13
1449,1320,1692,1324,1107,1139,1273,1082,Original Data,14
1458,1311,1682,1337,1116,1126,1268,1097,Original Data,15
1454,1321,1683,1336,1115,1132,1265,1090,Original Data,16
1451,1322,1682,1368,1112,1138,1268,1104,Original Data,17
1448,1309,1696,1477,1102,1123,1283,1165,Original Data,18
1448,1322,1704,1715,1109,1136,1279,1288,Original Data,19
1449,1306,1755,2181,1106,1121,1310,1546,Original Data,20
1447,1308,1848,2823,1104,1120,1362,1891,Original Data,21
1453,1315,2044,3476,1114,1127,1453,2249,Original Data,22
1442,1315,2399,3971,1103,1131,1630,2530,Original Data,23
1443,1320,2786,4294,1106,1135,1811,2723,Original Data,24
1447,1319,3212,4495,1106,1132,2015,2855,Original Data,25
1452,1306,3677,4659,1111,1117,2232,2975,Original Data,26
1440,1314,4163,4770,1097,1129,2461,3055,Original Data,27
1436,1308,4660,4885,1097,1122,2695,3155,Original Data,28
1440,1310,5164,5037,1098,1123,2928,3273,Original Data,29
1447,1305,5692,5218,1106,1117,3164,3427,Original Data,30
1446,1309,6157,5402,1104,1119,3389,3568,Original Data,31
1442,1306,6586,5595,1099,1118,3597,3724,Original Data,32
1439,1320,6908,5776,1105,1130,3754,3867,Original Data,33
1446,1305,7179,5959,1108,1116,3894,4014,Original Data,34
