1A,2A,3A,4A,1B,2B,3B,4B,Type
3542,3517,3128,3462,2611,2857,2353,2537,Original Data
3550,3540,3142,3501,2626,2884,2365,2560,Original Data
3557,3543,3123,3503,2637,2892,2349,2558,Original Data
3556,3532,3123,3511,2637,2878,2351,2569,Original Data
3545,3536,3118,3499,2626,2884,2343,2558,Original Data
3549,3534,3128,3495,2624,2878,2359,2556,Original Data
3554,3532,3130,3479,2633,2882,2351,2539,Original Data
3559,3528,3121,3485,2639,2877,2345,2548,Original Data
3559,3525,3124,3477,2637,2877,2349,2541,Original Data
3550,3523,3126,3466,2639,2877,2353,2535,Original Data
3549,3496,3106,3464,2635,2863,2333,2535,Original Data
3550,3498,3101,3466,2633,2855,2335,2539,Original Data
3538,3491,3106,3464,2619,2857,2341,2537,Original Data
3533,3496,3104,3460,2617,2859,2337,2522,Original Data
3542,3485,3094,3464,2626,2851,2333,2535,Original Data
3542,3485,3097,3485,2624,2851,2330,2544,Original Data
3550,3485,3099,3576,2635,2855,2326,2582,Original Data
3545,3487,3121,3833,2628,2857,2332,2704,Original Data
3542,3480,3198,4480,2617,2853,2363,3010,Original Data
3540,3476,3375,5597,2622,2848,2427,3531,Original Data
3529,3459,3742,7131,2611,2836,2590,4223,Original Data
3522,3461,4424,8791,2610,2834,2900,4959,Original Data
3529,3459,5506,10288,2610,2832,3390,5634,Original Data
3520,3451,6855,11328,2608,2828,4015,6106,Original Data
3524,3459,8348,11940,2610,2836,4706,6404,Original Data
3526,3444,9765,12339,2611,2822,5384,6592,Original Data
3519,3461,10868,12575,2611,2838,5920,6697,Original Data
3510,3455,11719,12791,2597,2826,6337,6794,Original Data
3513,3453,12450,13125,2604,2828,6691,6952,Original Data
3515,3453,13067,13560,2606,2832,6992,7157,Original Data
3515,3450,13667,13981,2608,2826,7281,7347,Original Data
3506,3448,14243,14392,2602,2828,7557,7530,Original Data
3517,3438,14750,14803,2608,2817,7790,7724,Original Data
3511,3444,15173,15149,2599,2828,7988,7864,Original Data
